Horodateur,Quel est votre sexe ?,Quel âge avez vous ? ,Quelle est votre section à la SAE ?,En quelle année êtes-vous à la SAE ? ,Quelle est votre nationalité ?,Quel est votre niveau d'étude ?,P1 : Quels énoncés suivants reflètent-ils votre connaissance sur le changement climatique ?  ,P2 : Est-ce que vos parents vous ont sensibilisé sur le recyclage des déchets et le gaspillage énergétique. ex : éteindre les prises électriques ?,"P3 : Chez vous, pensez-vous à débrancher les appareils électroniques et éteindre les lumières quand vous quittez une pièce ? ",P4 : faites-vous attention au temps passé sous la douche ?,"P5 : Selon vous, vos parents ont-ils changés leurs comportements vis-à-vis du changement climatique ?","P6 : Enfant, étiez-vous inquiet du changement climatique ? ",P7 : Avez-vous eu une/des conversation(s) avec vos parents en faveur de l'économie d'énergie dans votre foyer ? ,"T1 : De nos jours, êtes-vous d'accord avec l'inquiétude de la Suisse par rapport aux changements climatiques  ? ",T2 :  Êtes-vous d'accord de faire des économies d'énergie pour la Suisse ? ,T3: Êtes-vous d'accord de ne pas avoir accès à l’électricité en cas de pénurie ? ,T4 :   Êtes-vous d'accord à limiter le chauffage à 20 degrés dans votre foyer ? ,T5 : Comment jugez-vous votre capacité à faire face aux difficultés et aux défis liés au changement climatique ?,T6 : Quel est votre niveau de résilience actuel face aux changements et demandes du gouvernement Suisse sur l'économie d'électricité ?,T7 : Comment décririez-vous votre niveau d'optimisme face aux difficultés que vous pourrez rencontrez face aux changement climatique ?,T8 : Comment décririez-vous votre capacité à faire preuve de flexibilité et d'adaptabilité face aux changements climatiques et énergétiques ?,"T9 : Comment gérez-vous les situations stressantes liées au changement climatique, comme les catastrophes naturelles ou les pénuries de ressources ?","T10 : Etes-vous d'accord avec l'affirmation suivante : Je suis capable de trouver des solutions créatives aux problèmes liés au changement climatique sur le plan personnel et professionnel ? 
",T11 : Pensez-vous que la Suisse va pouvoir s’auto-suffire en énergie d'ici 2050 ?
20/12/2022 13:15:25,Homme,21 - 25,Game Prog,1,Etrangère,Baccalauréat Francais,J'ai reçu des cours de sensibilisation sur le changement climatique à l'école.,Oui,"Oui, ça m'arrive",Non ,Oui,Oui,Non,d'accord,d'accord,neutre,d'accord,Moyen,"Résilience moyenne, je suis prêt à m'investir un minimum et réduire ma consommation.",Optimiste,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Peu d'accord,Plutôt d'accord
20/12/2022 13:27:33,Femme,18 - 20,Film,3,Suisse,Maturité Gymnasial,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, tout le temps",Oui,Oui,Oui,Oui,très d'accord,très d'accord,totalement en désaccord,très d'accord,Fort,"Haute Résilience, je coupe chaque appareil électrique après utilisation et chauffage.",Neutre,Flexible,Je m'inquiète beaucoup et j'ai du mal à m'en remettre.,Plutôt d'accord,Plutôt d'accord
21/12/2022 18:40:42,Femme,26 - 30,Web Dev,1,Suisse,Certificat fédéral de capacité (CFC),Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, tout le temps",Non,Non,Non,Oui,très d'accord,d'accord,désaccord,d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Neutre,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Plutôt d'accord,Peu d'accord
21/12/2022 19:42:51,Femme,21 - 25,MPP,2,Suisse,Professional Bullshitter (Art Diploma),J'ai reçu des cours de sensibilisation sur le changement climatique à l'école.,Oui,"Oui, ça m'arrive",Oui,Non,Non,Non,très d'accord,très d'accord,d'accord,très d'accord,Très fort,"Résilience moyenne, je suis prêt à m'investir un minimum et réduire ma consommation.",Neutre,Flexible,Je suis en mesure de surmonter les difficultés de manière positive.,Plutôt d'accord,Ni d'accord ni de désaccord
10/01/2023 15:14:03,Homme,21 - 25,Web Dev,2,Suisse,Maturité Gymnasial,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, tout le temps",Oui,Oui,Oui,Oui,très d'accord,très d'accord,neutre,très d'accord,Très fort,"Haute Résilience, je coupe chaque appareil électrique après utilisation et chauffage.",Très optimiste,Très flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Tout à fait d'accord,Plutôt d'accord
19/01/2023 20:28:00,Homme,18 - 20,Game Prog,1,Suisse,Maturité Gymnasial,Je reçois seulement des informations venant des médias classiques.,Oui,"Oui, tout le temps",Oui,Oui,Oui,Oui,très d'accord,d'accord,neutre,d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Pessimiste,Ni flexible ni inflexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Ni d'accord ni de désaccord,Peu d'accord
19/01/2023 20:32:51,Homme,21 - 25,Game Prog,1,Suisse,Autre,Je reçois seulement des informations venant des médias classiques.,Non,"Non, je n'y pense pas",Non,Non,Non,Oui,très d'accord,neutre,très d'accord,très d'accord,Très faible,"Résilience légère, tant qu'on me coupe pas l'électricité.",Neutre,Ni flexible ni inflexible,Je suis en mesure de surmonter les difficultés de manière positive.,Ni d'accord ni de désaccord,Ni d'accord ni de désaccord
14/02/2023 12:52:08,Femme,18 - 20,VFX,2,Suisse,Certificat de culture générale,Je reçois seulement des informations venant des médias classiques.,Non,"Oui, ça m'arrive",Non,Non,Non,Non,d'accord,neutre,totalement en désaccord,désaccord,Moyen,"Résilience moyenne, je suis prêt à m'investir un minimum et réduire ma consommation.",Neutre,Ni flexible ni inflexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Ni d'accord ni de désaccord,Plutôt d'accord
14/02/2023 12:53:24,Homme,26 - 30,Game Prog,2,Suisse,Bachelor,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Non,"Oui, tout le temps",Non,Non,Non,Non,d'accord,très d'accord,désaccord,très d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Pessimiste,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Ni d'accord ni de désaccord,Tout à fait d'accord
14/02/2023 12:55:25,Homme,21 - 25,Game Art,2,Etrangère,Maturité Gymnasial,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, ça m'arrive",Oui,Non,Oui,Oui,d'accord,d'accord,totalement en désaccord,neutre,Moyen,"Résilience moyenne, je suis prêt à m'investir un minimum et réduire ma consommation.",Optimiste,Flexible,Je gère le stress de manière efficace et je m'adapte rapidement aux changements,Plutôt d'accord,Peu d'accord
14/02/2023 12:55:41,Homme,26 - 30,Game Prog,2,Suisse,Certificat fédéral de capacité (CFC),Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, tout le temps",Oui,Non,Non,Oui,d'accord,d'accord,totalement en désaccord,très d'accord,Fort,"Résilience légère, tant qu'on me coupe pas l'électricité.",Neutre,Ni flexible ni inflexible,Je gère le stress de manière efficace et je m'adapte rapidement aux changements,Plutôt d'accord,Peu d'accord
14/02/2023 12:57:02,Homme,18 - 20,Audio,3,Etrangère,Bachelor,Je reçois seulement des informations venant des médias classiques.,Oui,"Oui, tout le temps",Oui,Non,Non,Non,d'accord,d'accord,désaccord,très d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Neutre,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Plutôt d'accord,Plutôt d'accord
14/02/2023 13:01:51,Femme,18 - 20,Game Art,3,Suisse,Baccalauréat Francais,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, tout le temps",Oui,Oui,Oui,Oui,très d'accord,très d'accord,d'accord,d'accord,Très fort,"Haute Résilience, je coupe chaque appareil électrique après utilisation et chauffage.",Pessimiste,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Ni d'accord ni de désaccord,Plutôt d'accord
14/02/2023 13:02:25,Homme,21 - 25,Audio,3,Suisse,Maturité Gymnasial,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, ça m'arrive",Oui,Oui,Non,Oui,d'accord,d'accord,totalement en désaccord,d'accord,Faible,"Résilience légère, tant qu'on me coupe pas l'électricité.",Pessimiste,Flexible,Je gère le stress de manière efficace et je m'adapte rapidement aux changements,Plutôt d'accord,Peu d'accord
14/02/2023 13:06:22,Homme,21 - 25,Audio,1,Suisse,Certificat fédéral de capacité (CFC),Le sujet ne m'intéresse pas.,Oui,"Oui, ça m'arrive",Oui,Oui,Non,Non,d'accord,d'accord,d'accord,d'accord,Moyen,"Résilience moyenne, je suis prêt à m'investir un minimum et réduire ma consommation.",Neutre,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Ni d'accord ni de désaccord,Ni d'accord ni de désaccord
14/02/2023 13:09:52,Homme,21 - 25,Game Art,3,Suisse,Maturité Gymnasial,J'ai reçu des cours de sensibilisation sur le changement climatique à l'école.,Oui,"Oui, ça m'arrive",Non,Non,Oui,Non,très d'accord,très d'accord,neutre,très d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Optimiste,Flexible,Je suis en mesure de surmonter les difficultés de manière positive.,Ni d'accord ni de désaccord,Ni d'accord ni de désaccord
14/02/2023 13:10:21,Homme,21 - 25,Audio,3,Etrangère,Baccalauréat Francais,Je reçois seulement des informations venant des médias classiques.,Oui,"Oui, ça m'arrive",Non,Oui,Non,Non,très d'accord,d'accord,d'accord,d'accord,Moyen,"Résilience moyenne, je suis prêt à m'investir un minimum et réduire ma consommation.",Optimiste,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Ni d'accord ni de désaccord,Plutôt d'accord
14/02/2023 13:14:00,Femme,21 - 25,Game Art,2,Suisse,Certificat fédéral de capacité (CFC),Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, ça m'arrive",Oui,Non,Non,Oui,très d'accord,neutre,désaccord,d'accord,Fort,"Résilience légère, tant qu'on me coupe pas l'électricité.",Neutre,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Plutôt d'accord,Peu d'accord
14/02/2023 13:14:56,Homme,21 - 25,Audio,1,Suisse,Maturité spécialisée,J'ai reçu des cours de sensibilisation sur le changement climatique à l'école.,Oui,"Oui, tout le temps",Non,Oui,Non,Oui,très d'accord,d'accord,totalement en désaccord,très d'accord,Très fort,"Résilience légère, tant qu'on me coupe pas l'électricité.",Optimiste,Ni flexible ni inflexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Peu d'accord,Plutôt d'accord
14/02/2023 13:24:20,Femme,18 - 20,VFX,2,Suisse,Maturité Gymnasial,J'ai reçu des cours de sensibilisation sur le changement climatique à l'école.,Oui,"Oui, ça m'arrive",Non,Oui,Oui,Non,très d'accord,très d'accord,désaccord,d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Neutre,Ni flexible ni inflexible,Je gère le stress de manière efficace et je m'adapte rapidement aux changements,Ni d'accord ni de désaccord,Ni d'accord ni de désaccord
14/02/2023 13:24:30,Homme,21 - 25,Audio,1,Suisse,Baccalauréat Francais,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, ça m'arrive",Non,Oui,Oui,Oui,désaccord,très d'accord,désaccord,très d'accord,Fort,"Résilience légère, tant qu'on me coupe pas l'électricité.",Neutre,Flexible,Je gère le stress de manière efficace et je m'adapte rapidement aux changements,Plutôt d'accord,Ni d'accord ni de désaccord
14/02/2023 13:30:51,Homme,18 - 20,Web Dev,1,Etrangère,Baccalauréat Francais,Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Non, je n'y pense pas",Non,Oui,Oui,Oui,d'accord,d'accord,neutre,très d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Optimiste,Ni flexible ni inflexible,Je suis en mesure de surmonter les difficultés de manière positive.,Plutôt d'accord,Pas du tout d'accord
14/02/2023 13:40:09,Femme,18 - 20,Film,1,Suisse,Certificat fédéral de capacité (CFC),Je me suis renseigné(e) sur le changement climatique et ses conséquences.,Oui,"Oui, ça m'arrive",Oui,Oui,Non,Oui,très d'accord,d'accord,neutre,d'accord,Moyen,"Résilience légère, tant qu'on me coupe pas l'électricité.",Pessimiste,Flexible,"Je m'inquiète un peu, mais je finis par m'en remettre.",Plutôt d'accord,Plutôt d'accord
